Cliente	Fim de Mês	Data	Código
Pedro	01/07/2024	01/07/2024	425713
Pedro	31/08/2024	01/09/2024	436854
Pedro	30/09/2024	01/10/2024	622036
Pedro	31/10/2024	01/11/2024	209628
Pedro	30/11/2024	01/12/2024	864777
Pedro	31/12/2024	01/01/2025	248473
Pedro	31/01/2025	01/02/2025	614729
Pedro	28/02/2025	01/03/2025	534370
Pedro	31/03/2025	01/04/2025	664821
Pedro	30/04/2025	01/05/2025	654169
Pedro	31/05/2025	01/06/2025	467431
Pedro	30/06/2025	01/07/2025	806178
Pedro	31/07/2025	01/08/2025	316829
Pedro	31/08/2025	01/09/2025	230939
Pedro	30/09/2025	01/10/2025	902557
Pedro	31/10/2025	01/11/2025	961858
Pedro	30/11/2025	01/12/2025	680408
Pedro	31/12/2025	01/01/2026	263238
Pedro	31/01/2026	01/02/2026	280447
Pedro	28/02/2026	01/03/2026	608008
Pedro	31/03/2026	01/04/2026	568366
Pedro	30/04/2026	01/05/2026	173560
Pedro	31/05/2026	01/06/2026	690304
Pedro	30/06/2026	01/07/2026	954941
Pedro	31/07/2026	01/08/2026	181785
Pedro	31/08/2026	01/09/2026	858408
Pedro	30/09/2026	01/10/2026	869222
Pedro	31/10/2026	01/11/2026	293268
Pedro	30/11/2026	01/12/2026	309195
Pedro	31/12/2026	01/01/2027	496735
Pedro	31/01/2027	01/02/2027	618879
Pedro	28/02/2027	01/03/2027	452711
Pedro	31/03/2027	01/04/2027	345065
Pedro	30/04/2027	01/05/2027	375451
Pedro	31/05/2027	01/06/2027	289159
Pedro	30/06/2027	01/07/2027	917866
Pedro	31/07/2027	01/08/2027	815958
Pedro	31/08/2027	01/09/2027	800081
Pedro	30/09/2027	01/10/2027	308095
Pedro	31/10/2027	01/11/2027	605765
Pedro	30/11/2027	01/12/2027	953804
Pedro	31/12/2027	01/01/2028	157740
Pedro	31/01/2028	01/02/2028	507354
Pedro	29/02/2028	01/03/2028	310804
Pedro	31/03/2028	01/04/2028	574967
Pedro	30/04/2028	01/05/2028	285158
Pedro	31/05/2028	01/06/2028	730284
Pedro	30/06/2028	01/07/2028	822993
Pedro	31/07/2028	01/08/2028	779399
Pedro	31/08/2028	01/09/2028	328025
Pedro	30/09/2028	01/10/2028	557508
Pedro	31/10/2028	01/11/2028	611858
Pedro	30/11/2028	01/12/2028	248166
Pedro	31/12/2028	01/01/2029	703481
Pedro	31/01/2029	01/02/2029	888338
Pedro	28/02/2029	01/03/2029	365580
Pedro	31/03/2029	01/04/2029	316076
Pedro	30/04/2029	01/05/2029	515803
Pedro	31/05/2029	01/06/2029	238093
Pedro	30/06/2029	01/07/2029	631945
Pedro	31/07/2029	01/08/2029	229295
Pedro	31/08/2029	01/09/2029	443847
Pedro	30/09/2029	01/10/2029	157237
Pedro	31/10/2029	01/11/2029	589743
Pedro	30/11/2029	01/12/2029	645209
Pedro	31/12/2029	01/01/2030	240216
Pedro	31/01/2030	01/02/2030	336194
Pedro	28/02/2030	01/03/2030	192649
Pedro	31/03/2030	01/04/2030	566172
Pedro	30/04/2030	01/05/2030	560054
Pedro	31/05/2030	01/06/2030	703063
Pedro	30/06/2030	01/07/2030	998676
Pedro	31/07/2030	01/08/2030	945738
Pedro	31/08/2030	01/09/2030	660739
Pedro	30/09/2030	01/10/2030	646510
Pedro	31/10/2030	01/11/2030	892783
Pedro	30/11/2030	01/12/2030	395908
Pedro	31/12/2030	01/01/2031	503016
Pedro	31/01/2031	01/02/2031	109648
Pedro	28/02/2031	01/03/2031	465464
Pedro	31/03/2031	01/04/2031	125993
Pedro	30/04/2031	01/05/2031	288574
Pedro	31/05/2031	01/06/2031	609825
Pedro	30/06/2031	01/07/2031	313632
Pedro	31/07/2031	01/08/2031	608402
Pedro	31/08/2031	01/09/2031	647685
Pedro	30/09/2031	01/10/2031	530863
Pedro	31/10/2031	01/11/2031	767795
Pedro	30/11/2031	01/12/2031	420785
Pedro	31/12/2031	01/01/2032	421102
Pedro	31/01/2032	01/02/2032	237980
Pedro	29/02/2032	01/03/2032	329641
Pedro	31/03/2032	01/04/2032	424602
Pedro	30/04/2032	01/05/2032	344388
Pedro	31/05/2032	01/06/2032	183562
Pedro	30/06/2032	01/07/2032	495059
Pedro	31/07/2032	01/08/2032	645638
Pedro	31/08/2032	01/09/2032	600802
Pedro	30/09/2032	01/10/2032	305816
Pedro	31/10/2032	01/11/2032	487340
Pedro	30/11/2032	01/12/2032	380982
Pedro	31/12/2032	01/01/2033	628857
Pedro	31/01/2033	01/02/2033	104058
Pedro	28/02/2033	01/03/2033	612445
Pedro	31/03/2033	01/04/2033	769771
Pedro	30/04/2033	01/05/2033	492401
Pedro	31/05/2033	01/06/2033	424564
Pedro	30/06/2033	01/07/2033	368891
Pedro	31/07/2033	01/08/2033	559494
Pedro	31/08/2033	01/09/2033	352305
Pedro	30/09/2033	01/10/2033	866677
Pedro	31/10/2033	01/11/2033	126079
Pedro	30/11/2033	01/12/2033	529280
Pedro	31/12/2033	01/01/2034	424397
Pedro	31/01/2034	01/02/2034	638685
Pedro	28/02/2034	01/03/2034	419496
Pedro	31/03/2034	01/04/2034	415834
Pedro	30/04/2034	01/05/2034	411331
Pedro	31/05/2034	01/06/2034	157315
Pedro	30/06/2034	01/07/2034	665500
Pedro	31/07/2034	01/08/2034	257288
Pedro	31/08/2034	01/09/2034	391058
Pedro	30/09/2034	01/10/2034	164989
Pedro	31/10/2034	01/11/2034	697029
Pedro	30/11/2034	01/12/2034	132928
Pedro	31/12/2034	01/01/2035	890309
Pedro	31/01/2035	01/02/2035	557974
Pedro	28/02/2035	01/03/2035	139138
Pedro	31/03/2035	01/04/2035	753322
Pedro	30/04/2035	01/05/2035	836619
Pedro	31/05/2035	01/06/2035	958822
Pedro	30/06/2035	01/07/2035	158231
Pedro	31/07/2035	01/08/2035	815380
Pedro	31/08/2035	01/09/2035	738414
Pedro	30/09/2035	01/10/2035	723379
Pedro	31/10/2035	01/11/2035	763849
Pedro	30/11/2035	01/12/2035	588568
Pedro	31/12/2035	01/01/2036	833519
Pedro	31/01/2036	01/02/2036	232592
Pedro	29/02/2036	01/03/2036	942394
Pedro	31/03/2036	01/04/2036	249290
Pedro	30/04/2036	01/05/2036	757608
Pedro	31/05/2036	01/06/2036	195080
Pedro	30/06/2036	01/07/2036	998478
Pedro	31/07/2036	01/08/2036	442289
Pedro	31/08/2036	01/09/2036	189890
Pedro	30/09/2036	01/10/2036	532842
Pedro	31/10/2036	01/11/2036	699192
Pedro	30/11/2036	01/12/2036	357686
Pedro	31/12/2036	01/01/2037	347875
Pedro	31/01/2037	01/02/2037	662363
Pedro	28/02/2037	01/03/2037	877638
Pedro	31/03/2037	01/04/2037	685037
Pedro	30/04/2037	01/05/2037	788142
Pedro	31/05/2037	01/06/2037	103456
Pedro	30/06/2037	01/07/2037	793293
Pedro	31/07/2037	01/08/2037	100267
Pedro	31/08/2037	01/09/2037	406417
Pedro	30/09/2037	01/10/2037	817247
Pedro	31/10/2037	01/11/2037	848093
Pedro	30/11/2037	01/12/2037	761215
Pedro	31/12/2037	01/01/2038	143252
Pedro	31/01/2038	01/02/2038	165784
Pedro	28/02/2038	01/03/2038	863369
Pedro	31/03/2038	01/04/2038	290560
Pedro	30/04/2038	01/05/2038	442255
Pedro	31/05/2038	01/06/2038	452836
Pedro	30/06/2038	01/07/2038	185233
Pedro	31/07/2038	01/08/2038	956137
Pedro	31/08/2038	01/09/2038	374257
Pedro	30/09/2038	01/10/2038	664498
Pedro	31/10/2038	01/11/2038	384502
Pedro	30/11/2038	01/12/2038	625850
Pedro	31/12/2038	01/01/2039	416492
Pedro	31/01/2039	01/02/2039	955114
Pedro	28/02/2039	01/03/2039	977269
Pedro	31/03/2039	01/04/2039	850428
Pedro	30/04/2039	01/05/2039	475128
Pedro	31/05/2039	01/06/2039	385310
Pedro	30/06/2039	01/07/2039	294938
Pedro	31/07/2039	01/08/2039	421796
Pedro	31/08/2039	01/09/2039	521954
Pedro	30/09/2039	01/10/2039	572348
Pedro	31/10/2039	01/11/2039	865669
Pedro	30/11/2039	01/12/2039	134398
Pedro	31/12/2039	01/01/2040	940218
Pedro	31/01/2040	01/02/2040	689880
Pedro	29/02/2040	01/03/2040	343904
Pedro	31/03/2040	01/04/2040	782372
Pedro	30/04/2040	01/05/2040	492437
Pedro	31/05/2040	01/06/2040	476119
Pedro	30/06/2040	01/07/2040	281370
Pedro	31/07/2040	01/08/2040	606292
Pedro	31/08/2040	01/09/2040	571215
Pedro	30/09/2040	01/10/2040	285635
Pedro	31/10/2040	01/11/2040	650969
Pedro	30/11/2040	01/12/2040	251660
Pedro	31/12/2040	01/01/2041	393471
Pedro	31/01/2041	01/02/2041	661369
Pedro	28/02/2041	01/03/2041	719340
Pedro	31/03/2041	01/04/2041	866506
Pedro	30/04/2041	01/05/2041	926339
Pedro	31/05/2041	01/06/2041	554050
Pedro	30/06/2041	01/07/2041	632342
Pedro	31/07/2041	01/08/2041	448530
Pedro	31/08/2041	01/09/2041	249668
Pedro	30/09/2041	01/10/2041	179758
Pedro	31/10/2041	01/11/2041	782604
Pedro	30/11/2041	01/12/2041	361027
Pedro	31/12/2041	01/01/2042	949818
Pedro	31/01/2042	01/02/2042	293873
Pedro	28/02/2042	01/03/2042	405193
Pedro	31/03/2042	01/04/2042	318338
Pedro	30/04/2042	01/05/2042	114754
Pedro	31/05/2042	01/06/2042	608822
Pedro	30/06/2042	01/07/2042	505361
Pedro	31/07/2042	01/08/2042	537476
Pedro	31/08/2042	01/09/2042	544998
Pedro	30/09/2042	01/10/2042	716169
Pedro	31/10/2042	01/11/2042	915373
Pedro	30/11/2042	01/12/2042	808049
Pedro	31/12/2042	01/01/2043	964580
Pedro	31/01/2043	01/02/2043	487471
Pedro	28/02/2043	01/03/2043	726022
Pedro	31/03/2043	01/04/2043	212573
Pedro	30/04/2043	01/05/2043	566860
Pedro	31/05/2043	01/06/2043	134403
Pedro	30/06/2043	01/07/2043	814032
Pedro	31/07/2043	01/08/2043	905216
Pedro	31/08/2043	01/09/2043	309360
Pedro	30/09/2043	01/10/2043	244340
Pedro	31/10/2043	01/11/2043	889232
Pedro	30/11/2043	01/12/2043	375870
Pedro	31/12/2043	01/01/2044	843742
Pedro	31/01/2044	01/02/2044	447968
Pedro	29/02/2044	01/03/2044	658733
Pedro	31/03/2044	01/04/2044	930163
Pedro	30/04/2044	01/05/2044	242096
Pedro	31/05/2044	01/06/2044	876434
Pedro	30/06/2044	01/07/2044	966761
Pedro	31/07/2044	01/08/2044	956899
Pedro	31/08/2044	01/09/2044	905670
Pedro	30/09/2044	01/10/2044	436002
Pedro	31/10/2044	01/11/2044	570232
Pedro	30/11/2044	01/12/2044	714566
Pedro	31/12/2044	01/01/2045	688219
Pedro	31/01/2045	01/02/2045	623991
Pedro	28/02/2045	01/03/2045	950904
Pedro	31/03/2045	01/04/2045	933483
Pedro	30/04/2045	01/05/2045	985448
Pedro	31/05/2045	01/06/2045	135458
Pedro	30/06/2045	01/07/2045	935844
Pedro	31/07/2045	01/08/2045	621508
Pedro	31/08/2045	01/09/2045	352012
Pedro	30/09/2045	01/10/2045	691185
Pedro	31/10/2045	01/11/2045	717736
Pedro	30/11/2045	01/12/2045	486642
Pedro	31/12/2045	01/01/2046	371421
Pedro	31/01/2046	01/02/2046	201584
Pedro	28/02/2046	01/03/2046	541251
Pedro	31/03/2046	01/04/2046	500329
Pedro	30/04/2046	01/05/2046	969751
Pedro	31/05/2046	01/06/2046	540560
Pedro	30/06/2046	01/07/2046	831289
Pedro	31/07/2046	01/08/2046	101511
Pedro	31/08/2046	01/09/2046	306225
Pedro	30/09/2046	01/10/2046	390889
Pedro	31/10/2046	01/11/2046	583058
Pedro	30/11/2046	01/12/2046	528336
Pedro	31/12/2046	01/01/2047	942445
Pedro	31/01/2047	01/02/2047	969880
Pedro	28/02/2047	01/03/2047	120869
Pedro	31/03/2047	01/04/2047	259598
Pedro	30/04/2047	01/05/2047	285241
Pedro	31/05/2047	01/06/2047	573468
Pedro	30/06/2047	01/07/2047	642698
Pedro	31/07/2047	01/08/2047	196335
Pedro	31/08/2047	01/09/2047	806252
Pedro	30/09/2047	01/10/2047	182578
Pedro	31/10/2047	01/11/2047	915262
Pedro	30/11/2047	01/12/2047	685691
Pedro	31/12/2047	01/01/2048	891875
Pedro	31/01/2048	01/02/2048	694909
Pedro	29/02/2048	01/03/2048	723732
Pedro	31/03/2048	01/04/2048	478430
Pedro	30/04/2048	01/05/2048	870211
Pedro	31/05/2048	01/06/2048	382515
Pedro	30/06/2048	01/07/2048	700753
Pedro	31/07/2048	01/08/2048	904794
Pedro	31/08/2048	01/09/2048	613887
Pedro	30/09/2048	01/10/2048	959644
Pedro	31/10/2048	01/11/2048	667251
Pedro	30/11/2048	01/12/2048	191419
Pedro	31/12/2048	01/01/2049	341087
Pedro	31/01/2049	01/02/2049	390150
Pedro	28/02/2049	01/03/2049	620356
Pedro	31/03/2049	01/04/2049	198581
Pedro	30/04/2049	01/05/2049	944670
Pedro	31/05/2049	01/06/2049	317316
Pedro	30/06/2049	01/07/2049	566629
Pedro	31/07/2049	01/08/2049	591322
Pedro	31/08/2049	01/09/2049	175596
Pedro	30/09/2049	01/10/2049	135793
Pedro	31/10/2049	01/11/2049	404542
Pedro	30/11/2049	01/12/2049	331792
Pedro	31/12/2049	01/01/2050	425510
Pedro	31/01/2050	01/02/2050	230440
Pedro	28/02/2050	01/03/2050	402034
Pedro	31/03/2050	01/04/2050	101615
Pedro	30/04/2050	01/05/2050	122181
Pedro	31/05/2050	01/06/2050	290893
Pedro	30/06/2050	01/07/2050	833544
Pedro	31/07/2050	01/08/2050	229996
Pedro	31/08/2050	01/09/2050	220972
Pedro	30/09/2050	01/10/2050	698599
Pedro	31/10/2050	01/11/2050	739455
Pedro	30/11/2050	01/12/2050	473590
Pedro	31/12/2050	01/01/2051	957633
Pedro	31/01/2051	01/02/2051	941746
Pedro	28/02/2051	01/03/2051	878168
Pedro	31/03/2051	01/04/2051	204844
Pedro	30/04/2051	01/05/2051	672635
Pedro	31/05/2051	01/06/2051	483037
Pedro	30/06/2051	01/07/2051	592390
Pedro	31/07/2051	01/08/2051	154627
Pedro	31/08/2051	01/09/2051	608288
Pedro	30/09/2051	01/10/2051	467940
Pedro	31/10/2051	01/11/2051	301899
Pedro	30/11/2051	01/12/2051	194012
Pedro	31/12/2051	01/01/2052	201999
Pedro	31/01/2052	01/02/2052	828221
Pedro	29/02/2052	01/03/2052	286388
Pedro	31/03/2052	01/04/2052	457629
Pedro	30/04/2052	01/05/2052	878392
Pedro	31/05/2052	01/06/2052	137882
Pedro	30/06/2052	01/07/2052	307531
Pedro	31/07/2052	01/08/2052	979527
Pedro	31/08/2052	01/09/2052	446481
Pedro	30/09/2052	01/10/2052	245399
Pedro	31/10/2052	01/11/2052	429132
Pedro	30/11/2052	01/12/2052	571416
Pedro	31/12/2052	01/01/2053	446622
Pedro	31/01/2053	01/02/2053	460665
Pedro	28/02/2053	01/03/2053	855104
Pedro	31/03/2053	01/04/2053	926589
Pedro	30/04/2053	01/05/2053	278687
Pedro	31/05/2053	01/06/2053	961196
Pedro	30/06/2053	01/07/2053	769745
Pedro	31/07/2053	01/08/2053	952028
Pedro	31/08/2053	01/09/2053	323717
Pedro	30/09/2053	01/10/2053	351730
Pedro	31/10/2053	01/11/2053	780719
Pedro	30/11/2053	01/12/2053	161231
Pedro	31/12/2053	01/01/2054	982701
Pedro	31/01/2054	01/02/2054	240769
Pedro	28/02/2054	01/03/2054	691951
Pedro	31/03/2054	01/04/2054	519308
Pedro	30/04/2054	01/05/2054	543436
Pedro	31/05/2054	01/06/2054	534096
Pedro	30/06/2054	01/07/2054	136251
Pedro	31/07/2054	01/08/2054	117925
Pedro	31/08/2054	01/09/2054	760650
Pedro	30/09/2054	01/10/2054	906412
Pedro	31/10/2054	01/11/2054	824281
Pedro	30/11/2054	01/12/2054	243019
Pedro	31/12/2054	01/01/2055	104914
Pedro	31/01/2055	01/02/2055	613899
Pedro	28/02/2055	01/03/2055	169153
Pedro	31/03/2055	01/04/2055	726676
Pedro	30/04/2055	01/05/2055	999776
Pedro	31/05/2055	01/06/2055	983281
Pedro	30/06/2055	01/07/2055	874093
Pedro	31/07/2055	01/08/2055	933270
Pedro	31/08/2055	01/09/2055	894656
Pedro	30/09/2055	01/10/2055	191480
Pedro	31/10/2055	01/11/2055	415224
Pedro	30/11/2055	01/12/2055	543156
Pedro	31/12/2055	01/01/2056	423483
Pedro	31/01/2056	01/02/2056	473045
Pedro	29/02/2056	01/03/2056	558844
Pedro	31/03/2056	01/04/2056	847250
Pedro	30/04/2056	01/05/2056	855416
Pedro	31/05/2056	01/06/2056	342629
Pedro	30/06/2056	01/07/2056	293114
Pedro	31/07/2056	01/08/2056	705792
Pedro	31/08/2056	01/09/2056	243116
Pedro	30/09/2056	01/10/2056	735648
Pedro	31/10/2056	01/11/2056	238583
Pedro	30/11/2056	01/12/2056	811541
Pedro	31/12/2056	01/01/2057	270910
Pedro	31/01/2057	01/02/2057	104648
Pedro	28/02/2057	01/03/2057	281471
Pedro	31/03/2057	01/04/2057	560149
Pedro	30/04/2057	01/05/2057	228174
Pedro	31/05/2057	01/06/2057	335911
Pedro	30/06/2057	01/07/2057	208847
Pedro	31/07/2057	01/08/2057	178536
Pedro	31/08/2057	01/09/2057	915948
Pedro	30/09/2057	01/10/2057	674794
Pedro	31/10/2057	01/11/2057	359140
Pedro	30/11/2057	01/12/2057	172857
Pedro	31/12/2057	01/01/2058	699817
Pedro	31/01/2058	01/02/2058	811086
Pedro	28/02/2058	01/03/2058	832428
Pedro	31/03/2058	01/04/2058	362596
Pedro	30/04/2058	01/05/2058	110203
Pedro	31/05/2058	01/06/2058	396016
Pedro	30/06/2058	01/07/2058	445702
Pedro	31/07/2058	01/08/2058	627338
Pedro	31/08/2058	01/09/2058	610201
Pedro	30/09/2058	01/10/2058	743113
Pedro	31/10/2058	01/11/2058	844604
Pedro	30/11/2058	01/12/2058	462007
Pedro	31/12/2058	01/01/2059	719675
Pedro	31/01/2059	01/02/2059	512314
Pedro	28/02/2059	01/03/2059	368018
Pedro	31/03/2059	01/04/2059	862097
Pedro	30/04/2059	01/05/2059	112510
Pedro	31/05/2059	01/06/2059	303857
Pedro	30/06/2059	01/07/2059	143490
Pedro	31/07/2059	01/08/2059	179026
Pedro	31/08/2059	01/09/2059	972389
Pedro	30/09/2059	01/10/2059	874039
Pedro	31/10/2059	01/11/2059	458824
Pedro	30/11/2059	01/12/2059	360035
Pedro	31/12/2059	01/01/2060	816593
Pedro	31/01/2060	01/02/2060	257660
Pedro	29/02/2060	01/03/2060	733208
Pedro	31/03/2060	01/04/2060	111438
Pedro	30/04/2060	01/05/2060	159123
Pedro	31/05/2060	01/06/2060	601658
Pedro	30/06/2060	01/07/2060	527325
Pedro	31/07/2060	01/08/2060	676332
Pedro	31/08/2060	01/09/2060	705886
Pedro	30/09/2060	01/10/2060	911973
Pedro	31/10/2060	01/11/2060	426331
Pedro	30/11/2060	01/12/2060	925431
Pedro	31/12/2060	01/01/2061	269278
Pedro	31/01/2061	01/02/2061	410644
Pedro	28/02/2061	01/03/2061	639274
Pedro	31/03/2061	01/04/2061	255941
Pedro	30/04/2061	01/05/2061	821433
Pedro	31/05/2061	01/06/2061	624874
Pedro	30/06/2061	01/07/2061	530008
Pedro	31/07/2061	01/08/2061	744535
Pedro	31/08/2061	01/09/2061	175494
Pedro	30/09/2061	01/10/2061	394715
Pedro	31/10/2061	01/11/2061	948904
Pedro	30/11/2061	01/12/2061	174000
Pedro	31/12/2061	01/01/2062	776192
Pedro	31/01/2062	01/02/2062	774180
Pedro	28/02/2062	01/03/2062	370562
Pedro	31/03/2062	01/04/2062	812676
Pedro	30/04/2062	01/05/2062	208500
Pedro	31/05/2062	01/06/2062	132108
Pedro	30/06/2062	01/07/2062	674562
Pedro	31/07/2062	01/08/2062	858463
Pedro	31/08/2062	01/09/2062	840854
Pedro	30/09/2062	01/10/2062	275483
Pedro	31/10/2062	01/11/2062	379744
Pedro	30/11/2062	01/12/2062	411188
Pedro	31/12/2062	01/01/2063	163132
Pedro	31/01/2063	01/02/2063	741430
Pedro	28/02/2063	01/03/2063	294164
Pedro	31/03/2063	01/04/2063	519648
Pedro	30/04/2063	01/05/2063	726905
Pedro	31/05/2063	01/06/2063	665128
Pedro	30/06/2063	01/07/2063	886479
Pedro	31/07/2063	01/08/2063	945464
Pedro	31/08/2063	01/09/2063	620474
Pedro	30/09/2063	01/10/2063	435847
Pedro	31/10/2063	01/11/2063	481638
Pedro	30/11/2063	01/12/2063	614080
Pedro	31/12/2063	01/01/2064	953610
Pedro	31/01/2064	01/02/2064	940682
Pedro	29/02/2064	01/03/2064	338348
Pedro	31/03/2064	01/04/2064	142607
Pedro	30/04/2064	01/05/2064	451237
Pedro	31/05/2064	01/06/2064	972382
Pedro	30/06/2064	01/07/2064	254191
Pedro	31/07/2064	01/08/2064	692940
Pedro	31/08/2064	01/09/2064	184347
